id,worktype,subsystem,severity,priority,assignee_bucket,state,project,title
COW-824,Bug,Tooling,-,0,unassigned,Backlog,"Node Hardening, Tooling & Supporting Work",Mesa validator fails to load some @runner.continuation examples when runner.llm() prompt is built from multi-line f-string concatenation
COW-821,Bug,Tooling,-,2,unassigned,Todo,"Node Hardening, Tooling & Supporting Work",cowboy account nonce is not implemented but is required for retry logic
COW-820,Bug,Tooling,-,2,pav,Todo,"Node Hardening, Tooling & Supporting Work",bug: cowboy token balance always hangs
COW-819,Bug,Tooling,-,0,pav,Backlog,"Node Hardening, Tooling & Supporting Work",bug: python sdk missing timer functions
COW-1546,CIP-conformance-audit,CBFS,-,0,unassigned,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,§9.2 (v2) Secrets-Manager direct sealed-DEK fetch path replacing
COW-1545,CIP-conformance-audit,CBFS,-,0,unassigned,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,§12.3 reserve_storage_balance / get_storage_usage AccountStorageSummary
COW-1544,CIP-conformance-audit,CBFS,-,0,unassigned,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,§13.4 transfer_volume(volume_name
COW-923,CIP-conformance-audit,CBFS,high,2,pav,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,[CBFS] Strict SDK read mode (no placement-supplied address fallback)
COW-922,CIP-conformance-audit,CBFS,high,2,unassigned,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,[CBFS] Public-read short-circuit on GetPlacement + GetShard
COW-920,CIP-conformance-audit,CBFS,high,2,unassigned,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,[CBFS] Add GetManifest Relay RPC (AMEND 9-G)
COW-918,CIP-conformance-audit,CBFS,high,2,unassigned,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,[CBFS] Spot-check responder for PoR challenges
COW-935,CIP-conformance-audit,CBFS,low,4,unassigned,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,[CBFS] Wire node capacity_bytes to config (currently hardcoded 0)
COW-933,CIP-conformance-audit,CBFS,low,4,unassigned,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,[CBFS] Multi-source relay registry refresh + background fetch
COW-936,CIP-conformance-audit,CBFS,medium,3,pav,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,[CBFS] Add tests for packages currently with zero coverage
COW-934,CIP-conformance-audit,CBFS,medium,3,pav,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,[CBFS] Convert 34 production panic!/unimplemented!/todo! to typed errors
COW-932,CIP-conformance-audit,CBFS,medium,3,unassigned,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,[CBFS] Volume metadata + OwnerCapToken caching
COW-931,CIP-conformance-audit,CBFS,medium,3,unassigned,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,[CBFS] CLI connection pooling within process
COW-930,CIP-conformance-audit,CBFS,medium,3,unassigned,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,[CBFS] Cowboy-mode `cbfs mount` token-refresh design + implementation
COW-928,CIP-conformance-audit,CBFS,medium,3,pav,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,[CBFS] OwnerCapTokenV1 client-signed validation path on relays
COW-926,CIP-conformance-audit,CBFS,medium,3,unassigned,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,[CBFS] Signed request envelope on all /ras/ control-plane endpoints
COW-925,CIP-conformance-audit,CBFS,medium,3,unassigned,Backlog,CIP-9: Cowboy File System (CBFS)-Backed Runner Storage,[CBFS] Ship `cbfs auth setup/rotate/revoke/status/whoami` CLI commands
COW-1895,CIP-conformance-audit,CBSS,-,0,pav,Backlog,CIP-24: Cowboy Secret Service (CBSS),§3.6.2 automatic reshare triggers
COW-1894,CIP-conformance-audit,CBSS,-,0,pav,Backlog,CIP-24: Cowboy Secret Service (CBSS),§4.4 health-score automation
COW-1893,CIP-conformance-audit,CBSS,-,0,pav,Backlog,CIP-24: Cowboy Secret Service (CBSS),§5.3 canonical error vocabulary
COW-1062,CIP-conformance-audit,CBSS,high,2,pav,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] RPC pagination on GET /cbss/proxies
COW-1055,CIP-conformance-audit,CBSS,high,2,unassigned,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] Pin Commonware branch as protected annotated tag (H8)
COW-1051,CIP-conformance-audit,CBSS,high,2,unassigned,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] TEE vendor-quote chain-of-trust (DOD-07-TEE v1.1)
COW-1050,CIP-conformance-audit,CBSS,high,2,unassigned,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] Restore lost §5.9 spawned DKG e2e suite (DOD-04 v1.1)
COW-1070,CIP-conformance-audit,CBSS,low,4,pav,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] Document residual H8 blocker prominently
COW-1069,CIP-conformance-audit,CBSS,low,4,pav,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] Modulo bias note in weighted_proxy_position
COW-1068,CIP-conformance-audit,CBSS,low,4,pav,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] HPKE/DKG pubkey curve membership check (documented deferral)
COW-1066,CIP-conformance-audit,CBSS,low,4,pav,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] Operator-level Sybil defense documentation
COW-1065,CIP-conformance-audit,CBSS,low,4,pav,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] CBSS storage prefix documentation block
COW-1064,CIP-conformance-audit,CBSS,low,4,unassigned,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] DOD-01 aggregate cargo log
COW-1060,CIP-conformance-audit,CBSS,low,4,pav,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] AAD endianness consistency
COW-1067,CIP-conformance-audit,CBSS,medium,3,pav,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] TEE expiry off-by-one boundary audit
COW-1063,CIP-conformance-audit,CBSS,medium,3,unassigned,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] Handler 404/410/409 branch tests
COW-1061,CIP-conformance-audit,CBSS,medium,3,pav,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] ACL codec cap tightened to 64 (MAX_ACL_ACTORS)
COW-1059,CIP-conformance-audit,CBSS,medium,3,pav,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] Liveness index key cleanup on expire / response
COW-1058,CIP-conformance-audit,CBSS,medium,3,unassigned,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] Liveness challenge health-score attrition rate limit
COW-1057,CIP-conformance-audit,CBSS,medium,3,unassigned,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] DKG sabotage evidence remains provable post-rotate
COW-1056,CIP-conformance-audit,CBSS,medium,3,pav,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] Release receipt release_id collateral fields
COW-1054,CIP-conformance-audit,CBSS,medium,3,unassigned,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] Real-validator scenario matrix (DOD-05/07 v1.1)
COW-1053,CIP-conformance-audit,CBSS,medium,3,unassigned,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] Fake-cbssd binary serving forged σ_i over QUIC (DOD-09 v1.1)
